Gene,Number of connections,Connected genes
RP11-864I4.1,33,RND3 ZNF711 COX7A1 SLC25A33 HSPB2 ZP3 ANGPTL2 MYOZ2 RP11-1166P10.1 STKLD1 AC002059.10 HIST4H4 HIST1H2AE DYNC1LI2 KLK5 RP11-513I15.6 RPL24P4 LSMEM2 RP11-320L11.2 MT-CO3 RP11-266L9.5 AGR3 ARHGEF3 CCDC162P SLC34A2 ANKRD36B RP11-699C17.1 PSMC1 EFTUD2 FANCB BCKDHA NUBP1 PUS7L 
KLHL30,33,RP11-64B16.2 HEPH ARHGAP39 ADAMTS9 SEMA3B GLUD1P3 TRAPPC6B DIS3 ZNF775 EXTL3 RP11-57H14.2 EIF4BP7 RPS10 RP11-676J12.8 WAC-AS1 ZEB2P1 AC108463.2 ATR RP3-476K8.4 RPL23AP53 KBTBD8 AL022393.7 C9orf66 DDN LST1 CTD-2315E11.1 SNX30 AC005077.7 TPT1P9 EEF1A1P5 LTB4R2 SNRNP200 SUSD6 
FAM185BP,33,FAM196B CORO1C PRELID2 JPH2 PDILT MTMR10 TACC3 UTP3 PTPRT DICER1-AS1 FAM114A1 NMI SRGN RP11-373D23.3 C8orf44 CC2D1B ZNF555 RASEF RNF4 HNRNPA3P9 ERN1 NELFE RP1-118J21.25 ERLIN2 RPL41 RP11-16P6.1 CCDC30 NDUFA4 RP11-166P13.4 ADAMTS4 EAF1 DHRS1 SLC39A13 
RP11-385F5.4,33,ZNF536 RP11-2N1.2 SRSF6 FAM20B TUT1 PPM1H RP13-516M14.10 NFIL3 ALOX12P2 RPL37P2 AC009495.4 RP3-406A7.7 SENP1 CTB-25B13.9 SPIN4 AP001052.1 ENDOU RP1-118J21.25 LTA4H CDNF TMEM60 RP13-128O4.3 RP11-332M2.1 RP11-475J5.4 RPL19P21 MYO15B CCDC30 RP4-728D4.2 IGKV3D-15 FMN1 AC097724.3 CMTM3 DHRS1 
AC027601.1,33,RP11-6O2.3 METTL12 SH3RF1 FAM95C QSER1 MITD1 LUC7L FKBP9 TRIM60P18 STX3 PAX1 OXNAD1 MBOAT1 PATE2 TNFRSF1A HIC2 TLN2 DUSP8P3 CRADD CCDC96 CWC15 OTUD7A RER1 HIST2H4A FAM104A RAET1L ABI3 C6orf1 YES1P1 NPHP3 USP20 CYP4F11 MGEA5 
AMT,33,LINC00968 KIAA1644 SERPINB1 SRSF6 CTD-2008L17.1 ZNF879 FAM89A C6orf201 CDH2 PCDHGA9 RP1-63G5.5 PRSS8 INSM1 FLJ16779 RP11-203B9.4 RP11-302I18.1 RP1-28O10.1 RPL22 PIK3R5 MAGEE1 COL6A6 PMS2CL ACTBP11 RP11-271K11.5 RPS24P8 RPS18P9 AC021016.7 LRRN4 LDOC1L SLC25A18 COX10-AS1 ZRANB3 TRAPPC2L 
RP11-59D5__B.2,33,AP1B1P1 PCDHGA9 AC141928.1 RP11-203B9.4 NUDCD3 NRIP2 PTPRVP TFPT AF131216.5 CD8A RASIP1 RPL14P3 TIGD6 NRCAM PRPF31 IGHV2-5 ZNF57 MATN3 LINC00571 LINC01290 RP1-197B17.7 USHBP1 ACER2 NFKBID RP11-141M3.6 RP6-109B7.4 RP11-33B1.2 LINC01235 RAD21 PTCD1 RP11-563J2.3 TATDN2P2 SIAE 
CTD-2566J3.1,33,SEMA3A ARHGEF26 MELK PSME2 CASP16 LINC00278 ORAI1 SLC25A30-AS1 ZNF347 PLEKHM1 HIST2H2BF MISP C11orf58 BRAF ASTE1 PCDHGA5 RP11-6O2.2 USP10 GPN3 GATB ADCYAP1 RP11-135D11.2 TRBV12-4 RP11-677M14.7 RP11-336K24.12 BMS1P10 CDH7 RP11-54C4.3 RP11-48B14.1 SLC1A1 TIE1 TGM2 TTC30A 
MORN5,33,MIR148A HABP4 TMEM100 RP11-214K3.21 MAP7 PYGL RP11-408A13.4 TMEM182 ACVR2B MRGBP LRRC8B LOH12CR2 ZYG11A AC005682.7 ACAN CABIN1 COG8 IGHV1-58 RP11-470M17.2 RP11-169K16.8 MAFIP CTD-2306A12.1 MYLK2 IGKV1-17 MBTPS2 OR7D2 REM2 ZNF264 MAPK8 TMEM170B C11orf73 RNF114 SLC2A10 
KLRC1,33,C15orf41 RP11-290O12.2 CYP2W1 FOXJ2 AP006621.8 GOLGA8VP CECR5-AS1 NUP210P3 RP13-15M17.1 CDC6 AC008060.7 NT5DC2 ZC3H6 SECTM1 RP11-240G22.5 INF2 GSTA3 TACSTD2 ZNF654 POLR2J3 GRID2IP RP11-727F15.12 FAM26F BCDIN3D CDC42BPB EBF3 TYW1B RP4-592A1.2 RP11-206L10.5 RP11-138H8.6 TARDBP DYRK2 DBNL 
ZNF141,33,TWIST2 P4HB MCMDC2 GSTM1 LRRC43 MYO9A HPR HIST1H3B STX16 RP11-399J13.2 AC005154.7 SLC16A6 RP11-111M22.3 ADPRH LDLRAP1 ORM2 KDM3B MT-TY RP11-12J10.4 OXCT2 NDUFAF4P3 MYO18A AC068282.3 TP53TG1 MIR27B AVPR2 RP11-38L15.8 CD70 ZNF568 MVD TESC KIAA1324 BOD1 
PIK3R5,33,PDE7B NDNF INPP5B AMT CTD-2008L17.1 NELFCD TMEM69 INSM1 ETV6 RAET1E-AS1 FLJ16779 FBXL17 CTD-2020K17.1 RP11-255H23.5 NUMBL EYA3 SATB2 RPS3AP34 PCDHA1 MAGEE1 C1QL3 PLEKHG6 RP11-894J14.5 GOLGA2P10 ACTBP11 RP11-271K11.5 TNFAIP8L2 AC005562.1 RP11-165J3.6 RDH16 BPNT1 ZRANB3 FAM45A 
ZNF564,33,RP11-83M16.4 KLHL30-AS1 LDHB LINC00853 POC1B ARMC5 C1orf228 CTD-2231H16.1 AC073842.19 SOHLH2 RP11-830F9.7 OGG1 CTD-2126E3.5 RP11-438L19.1 DTX1 ERAP2 KATNAL2 BRINP3 DUS2 BCL2L2 EIF3CL RP11-250B2.4 RP11-489E7.4 PAF1 ALDOA CRYBB2 RP11-73B2.6 RP11-484D2.2 UBE2I COL22A1 NEK1 ANKH EZR 
RHOQ,33,USH1G NDE1 RASD2 RP11-752G15.9 KIAA1191 RIPPLY2 CERCAM IQCC PRND COMMD5 NFATC2 RP11-504P24.8 LA16c-431H6.6 ZNF613 SNORA55 ATP5H RN7SL208P RP11-206M11.7 RP11-174G6.1 RP1-34L19.1 AC104532.2 SLC18A1 STMND1 ICK NADK2-AS1 RP5-1142A6.2 SMIM24 LINC00910 RP11-563J2.3 RP11-981G7.6 RP11-283G6.4 RBBP6 NRDE2 
ARHGAP32,33,MIR100HG AC106786.1 CDCA3 RPL21P135 SERTAD2 RP11-255E6.6 HMBS RPA4 MMP24 AGAP1 CADM1 RP11-346C4.3 MED8 RP11-596C23.2 YWHAZP4 PSMB10 RP11-314N13.10 B4GALT1-AS1 FTX RP11-598P20.3 SCARB2 P2RY8 ZNF576 RP11-597A11.3 HOXD1 RP11-379H18.1 DLEU2L RP11-73K9.2 ZNF543 HMGB1P5 PDE6D ANAPC7 TPM3 
RP11-250B2.4,33,SPTBN2 CAP2 GAK NRSN2 POC1B ABHD13 PSMA5 ZNF564 RP5-832C2.5 AC073842.19 RP11-240G22.5 MAB21L2 ACOT13 CTD-2126E3.5 HMGN3-AS1 ARL1 CTD-2666L21.2 CD96 ZNF678 EN1 TNFRSF12A CTD-2515A14.1 FBXO15 GPC4 CRYBB2 RP11-484D2.2 NRN1 NDUFA6 CTC-575D19.1 THAP6 SLC5A1 MGP ANKH 
SPEG,33,LINC01138 PAICS ATP10D RP11-474P2.6 RP4-671O14.6 FAP ZNF726 ZNF493 USP51 RFX6 MUC16 RASSF4 CLK4 CD24 SNAPC2 IGLV7-43 LINC00216 AC012442.5 RHOXF1 MTATP8P2 INPP5K HDGFP1 LIPJ RP11-423P10.2 LRPPRC DOCK5 USP32P1 TRAPPC3 HOXD-AS2 MED29 GNMT NGFRAP1 UBE3C 
LGALS3BP,33,SLC2A5 C10orf82 TCEAL2 AP000892.6 RP11-1042B17.3 RP11-1023L17.1 SLC9A7 LMNB2 NFE2L3 LINC01013 MARS GLYATL1P2 OLR1 FOXD4L1 RNF225 RP11-613M10.6 EIF4B CD24 STK17B RP11-179B2.2 ZNF878 LINC00216 RHOXF1 RP11-182J1.12 TNFSF10 DTX2P1 DCDC1 DPYSL5 CLDND2 GPN1 C18orf8 MED29 SOX9 
FBXL17,33,INPP5B TERT AC009133.12 DYM NPAS4 TMEM69 PRSS8 DTX4 RAET1E-AS1 MCM7 FLJ16779 B3GALT5 BZW1P2 ZNF443 PCDHA1 PIK3R5 MAGEE1 LTA4H PDE9A RP11-325L12.7 AGR2 CTD-2530N21.4 ADAM11 SLC2A1 CLDN1 GOLGA2P10 RP11-271K11.5 CRCP RP4-728D4.2 PNOC RP11-474N24.6 RP11-521B24.3 ZRANB3 
CTC-459F4.3,33,NPTN TOR1AIP1 RP11-468N14.13 AC074117.10 CNN2 TRIB3 RP11-97C16.1 ZNF48 TGFB2 LDB2 ITGBL1 RNF126 ARL6IP6 MCCC2 RP4-756H11.5 GS1-304P7.1 EGR4 IGHV3-7 PCDH8 RP1-232L22__B.1 LPGAT1 ASCL5 LINC01443 AC092580.4 DIRC2 TMED7-TICAM2 RP11-111J6.2 CFAP54 AIM1 RPS26P3 CTC-277H1.7 NUP35 RP1-39G22.7 
MYH2,33,DCAF13 RP11-764K9.2 RP11-400N9.1 AC144450.2 ANKRD13A MLEC PRDM2 CTD-3074O7.5 CMPK1 GPR146 TRGV4 SRSF4 RP11-129M16.4 TMEM245 CH507-42P11.8 SEPT3 AP001429.1 HOMEZ PPP1R27 RN7SKP70 ATRIP KRTAP1-5 MCM8 HELLPAR SLC9C1 AC018804.6 MAPKAPK2 ZNF639 CTD-2231E14.2 NFATC1 C11orf84 PARL TFAM 
FAM35A,33,GPSM2 FHOD3 RP11-710C12.1 SRF RCC2 FOXA2 FANCF AP4E1 HHATL SLC10A4 AC105760.2 CTC-429L19.3 BLM VIPR2 RP11-112J3.16 CACNA1A IRF6 P2RY10 RP11-849H4.2 SPATA13 AC006116.15 ZGPAT RP11-686O6.2 DSG2 PMS2P5 SCYL3 NIT1 EIF5AP4 RP11-1252D15.1 RP11-11N7.5 BDNF-AS NEDD8 COG4 
RP11-843B15.4,33,RP11-569G13.3 MDFIC STRIP2 AC012314.8 QPCTL FAM122A RTFDC1 GLS2 RP4-800G7.2 SLC22A2 XPOT ADAMTS16 SYNJ1 SLC25A20 GMIP RAC1P2 UBE2E1 SNAI1 EIF1AXP1 KIAA0895 CSPG4P12 COL25A1 AF127936.7 IKZF2 HSPA1A DHRS4L2 RP11-131L12.4 RPL41P2 RPL34P34 MUCL1 GUCY2D IFT80 AZIN1 
RP11-510N19.5,33,STX7 TULP2 VAT1L SEPT7-AS1 CTB-131B5.5 PRR22 YBX2 PLB1 POP7 FAM228B RPS25 RP11-359J6.1 C1orf100 CACNA1C-AS1 RP3-391O22.3 ZNF410 LINC00884 GIMAP5 MKNK1-AS1 RP11-380O24.1 TMSB4XP4 RP11-353N4.6 SMEK2 RP11-139H15.6 VPS25 RP11-146N23.1 PARP16 CRTC2 FNIP1 ALDH5A1 RILP ABHD14A DDB1 
IGHV2-26,33,SCARA5 RP11-673E1.3 ARL2BP HPSE2 A2ML1 PCBP3-OT1 DUSP6 CTA-217C2.2 DESI1 ZNF226 RP11-338N10.3 TLE4 ALMS1-IT1 LINC00843 RP11-296A18.5 FMNL1 PIP4K2C RP11-113K21.6 TMEM79 SCCPDH TMED2 SLC39A9 YIPF1 CDV3 AGFG1 TPT1P9 RP5-991G20.2 POLR3G BPGM EP300 COMMD7 MMP7 CRIPT 
DDN,33,RP11-155D18.13 KLHL30 AC005154.6 AKR7L LINC00922 UTP18 EXTL3 CTD-2132N18.4 LSM12P1 MARK3 AC108463.2 EXOC4 POLR2I RPS15A TRIM58 GPT FAM171A2 KBTBD8 GPX1P1 PKIA RP13-516M14.1 AP000807.1 TNFRSF12A SLC39A9 YIPF1 RP11-488L18.6 RP13-401N8.1 AC005077.7 CCDC163P CTC-575D19.1 SUSD6 RAB40B MGP 
RP11-262H14.3,33,VIT SBDSP1 PPIC LINC00992 RP11-744O11.2 FAIM2 RNF13 RHBDF1 RP11-455F5.6 XXbac-BPG308K3.6 SLC6A11 RP11-560J1.2 RP11-346C20.4 IVNS1ABP SMARCE1P6 SEZ6L2 RP13-638C3.3 HDAC3 SPTLC1 CTD-2529O21.2 KCNC1 FGF13 CHGA TROVE2 ZNF703 LL21NC02-1C16.2 AC083884.8 SH2B3 AP2B1 HFE2 LINC01561 FZD5 TPCN2 
CYP2E1,33,LRRC17 ISL2 SLC26A6 TACC1 PTGER3 PPM1G ELMOD1 MSLN SLC35D3 ZNHIT2 KLB ZNF214 ZNF782 ZNF425 LMBR1L RP11-544I20.2 MAPK1 STAT3 PSMD10 PANX1 SMC1A ZDHHC8 LINC01144 AC004041.2 C1QTNF9 RP11-455F5.5 ZNF503-AS2 SNHG14 RP11-411B10.7 RP11-44F14.1 FAM177B ZHX2 PECAM1 
MAL,33,QSOX1 GDF15 PRR19 GPR37L1 DNM1P47 TGM5 PWAR1 CDC42EP5 CTB-31O20.2 NOL10 LA16c-390E6.4 SFRP5 MMRN1 KB-1836B5.4 ARHGAP11A AARS2 MNDA UBAC1 GOLGA8A SPTLC1 LTBP2 SH2B3 JPX RAB11FIP1P1 HADHA ZNF541 RP11-798G7.7 RP11-381E24.1 USO1 RPS13P2 SRD5A3-AS1 HOXD8 FZD5 
RP11-794G24.1,33,ZNF711 HSPB2 LAPTM4B ZP3 ANGPTL2 MYOZ2 STKLD1 CALML3-AS1 EEF2KMT CRK LGALS9B RALB TP53I11 CXCL1 KLK5 PTP4A2P2 RP11-513I15.6 EID2B LSMEM2 MT-CO3 AC073869.2 CCDC162P C1orf158 SLC34A2 HCFC1 RP11-806H10.4 TRIM26 CLUHP3 ANKRD20A7P ATP2A1 BCKDHA NUBP1 PUS7L 
RP11-407N17.5,33,CDHR1 RABGGTB KB-431C1.4 CTA-228A9.3 FAM95C QSER1 BPHL MITD1 CPSF3L CTD-2293H3.2 PLD5 STRADB LUC7L TRIM60P18 STX3 MED26 TFG LAGE3P1 NAT1 RP11-661A12.8 PATE2 ZNF724P HIC2 RP11-91I8.2 CEP170P1 CH17-140K24.6 CWC15 POMGNT1 IGKV3D-20 ZNF330 LMBRD2 NPHP3 TMX3 
CTC-428G20.1,33,IGSF1 RP11-629G13.1 MYLK GPR133 EFNA5 XXbac-B135H6.15 BCAS4 RP11-141O11.2 DEK DIP2A CTD-2366F13.2 ZFAND1 STT3A CD81 ZNF671 CCNH LLNLR-470E3.1 TMEM63C ETFA DCLRE1B NRADDP DMWD TNNT1 CTDP1 IGHJ3 SMC2-AS1 SCOC LGR4 MMP1 C7orf25 CDHR3 STAB1 UNC119 
LYRM5,33,USH1G ZBTB47 ARHGEF28 POLN RP11-752G15.9 KIAA1191 OXLD1 AC093627.10 XXbac-B444P24.14 RNF11 TNN CTD-2047H16.2 EID1 DR1 XXbac-BPGBPG55C20.1 WARS2 SPECC1L TRIM72 CXorf65 RP11-493E12.2 LINC00652 ABCC12 RNU6-722P STMND1 RP11-91J19.3 RP11-958N24.2 MRPL37P1 KRT8P11 RBBP6 RND1 DLGAP4 CCDC101 PPP1R13L 
RP11-809C18.3,33,MAP3K10 RP11-307E17.8 CLN6 RP11-4K16.2 DRD1 FEN1 GSN RP1-167F1.2 RAB3B ABHD11 RP4-789D17.5 RP1-136B1.1 CTD-3074O7.5 SDHAF1 IGSF23 NF1 RP11-680F8.4 RP11-405M12.4 FAM72C RP1-150O5.3 CNEP1R1 CCL22 HPS4 LIG1 SETD1A L2HGDH PTPRK MRPL4 ANK1 UTP11L C11orf84 ANKRD29 SH3GL1 
CTD-2006C1.12,33,NDE1 RP11-752G15.9 CTD-2550O8.7 CERCAM MCTS1 NFATC3 IQCC HM13-IT1 PTPRVP CRISP2 COX7A2P1 TAF1B ATP5H RN7SL208P HOXA11-AS1_4 DRC7 RPL14P3 RP11-206M11.7 RP1-34L19.1 IGHV2-5 TTTY10 MATN3 NOVA2 SLC18A1 ICK RP5-1142A6.2 RP11-234N17.1 SMIM24 RP11-563J2.3 HSPB9 SH3BP4 RP11-283G6.4 NRDE2 
RP11-230G5.2,33,DUOXA1 CAMK2A HN1L MYBL1 GRIPAP1 FGL2 HSPH1 VWA8 CFAP20 PDXP C16orf95 ZNF737 FYN RP11-758M4.4 MUC2 CH507-154B10.2 LINC00173 AC005754.7 SLC44A1 RP11-76E17.3 ADAT1 FAM86C1 ZNF586 ERBB2IP MESP1 DIO2 DHRS4-AS1 ZNF232 IFT122 CTD-3220F14.3 GON4L MYBPC1 MPDU1 
AC074391.1,33,RP1-228H13.5 RP11-6O2.3 SV2B KB-431C1.4 PLCE1 NXN ABR DRP2 HNRNPF TCP1 RAB41 YWHAH BRD7P2 ZNF441 PATE2 ZNF724P ZDHHC11B HIC2 RPS20P22 ARFIP1 DUSP8P3 RP3-395C13.1 NUP62 RP11-174G6.1 RPS7P3 RP11-424C20.2 ULK2 RP11-48B3.3 RP11-793H13.8 TMEM121 RAET1L STPG2 CTNND1 
DCPS,33,TEAD1 CSK RP4-635E18.6 PER2 CTC-510F12.7 CDC42BPA PABPC1L CTD-3064M3.3 RP11-834C11.5 OR52I1 GCDH CXorf23 SLC25A1 ATF1 MCM3 NPM1P25 LINC00854 RP11-1007O24.3 ACTR3 TMEM189 GRAP2 RP11-455O6.5 TLCD2 RRNAD1 SLC2A13 RP11-180M15.7 SLC25A15 FOXL1 GLRA3 NUTF2 UNC119B CSNK1G1 SGK3 
CTB-12A17.2,33,TPRN RP11-3D4.3 P4HB RP11-497E19.1 CTB-89H12.4 SNCAIP RP5-836N17.4 XPO5 RPL18AP7 ERVFRD-1 RP11-514O12.4 STX16 RP5-966M1.7 KB-1572G7.3 GALNT4 GFPT1 RP11-12J10.4 CCDC17 MIR155HG RTN4IP1 JADE1 RP11-506M13.3 TP53TG1 AGT GMPR2 CLEC5A CTD-3075F15.1 FAM173B AC092670.1 RP11-1277A3.1 CASP2 RAPGEF5 CCM2 
AP001429.1,33,FRMD7 RAB40A TMEM5-AS1 DCAF13 WDR4 HAUS4 NELFB CECR2 TEX15 RP5-983L19.2 MYH2 TRAF3IP1 MIAT TRGV4 RP11-27I1.6 RP4-751H13.7 UFD1L CTB-178M22.2 DHRS2 RP11-374P20.4 GPR56 C5orf66 TRAV2 RP11-332H18.3 RP11-439A17.9 FUNDC1 RP11-166P13.3 MCM8 ZMAT4 RP11-1017G21.4 AC018804.6 AIF1 TFAM 
CTD-2235C13.1,33,PIPOX SERPINB1 RRP1 STEAP2-AS1 CTC-548K16.6 RELL2 NUP210P3 LINC00922 RNF135 TRIM68 UTP18 UFM1 PCBP2 LSM12P1 AP000577.2 RPS4XP6 CLEC4A PFDN4 CLDN4 C9orf66 RASGEF1A DDX50P1 LST1 RP11-80F22.13 SLAMF6 C9orf50 BDKRB1 FAM156A RPL4P5 CARD10 UBE2F CHCHD7 FAM83F 
RALGAPB,33,SPOCK3 BAI3 SMKR1 RP11-279F6.1 JAK1 AF001548.5 CTD-2649C14.2 LINC00894 SLC43A3 NSMCE1 VAX2 HEXDC AC004540.4 MAN1A2 RP11-91P24.6 RP11-368I7.4 MON1B TMEM44-AS1 SGSM2 INTS9 RP11-91J19.2 RP11-270C12.3 ZNF281 TUNAR RP11-1008C21.1 RAB5B AC109826.1 CTD-2555O16.4 COX4I2 ATP2C2 RRH RP11-795F19.5 BRD9 
PRKCQ,33,ADAMTS18 EIF2B4 NONO RP4-613B23.1 FRAT2 RP11-676J12.4 EIF5A2 AKNAD1 MIR4697HG MAMDC2-AS1 LENG8 PKD1L3 MYLK4 LIMCH1 IGFN1 RP11-186B7.7 PRAP1 RP11-452C8.1 STK31 RP11-388K12.2 CNKSR3 FDX1L NF1P6 RPL21P28 RPA3 AC005523.3 FAM110B AC009014.3 PPP2R2A RP1-159A19.4 RP11-159N11.4 MARCKS TTC21B 
CTD-3234P18.6,33,NEFHP1 UCHL1 MAZ ARPC5L RP3-355L5.5 ICT1 BCRP3 ACRBP FEZF1 ENO1-AS1 BZW1P2 RP11-411B10.2 GHRHR CHPF NDEL1 BOLA2P2 GNB1L LDLRAD3 NUDT14 DDX26B CRISP3 AC008746.5 ZMYND12 TGFBI LINC00925 PODXL DERL1 IGKV4-1 CEP97 RP11-97O12.7 JMJD1C TCTE1 GMPS 
YWHAZP6,33,GPR156 CTNNA3 GBP1P1 STK32C RP11-118K6.3 RP11-46F15.2 AC131097.4 PHKA2 CTNNB1 LA16c-380A1.1 SH2B1 FOXRED1 CXADRP2 AHCY RP11-422P24.10 RP11-472B18.1 IGHV1-24 KCNN2 TMEM79 AL022393.7 RP11-191L17.1 MED14OS SMC5-AS1 YIPF1 TAS2R15P SEPHS1 IL18RAP PPFIA2 HOXB5 SMTNL1 COX4I1 PDK1 TYW5 
SS18L2,33,RP11-736N17.4 LINC01125 CDKN2B TSPAN33 AC007091.1 FGFBP2 RP11-932O9.10 SLC29A2 DUSP6 RPS25 BMPR2 ZNF366 GJB2 DPY19L2P4 RP5-965G21.4 TSTD2 AC017074.2 RP5-1115A15.1 NAPRT IGHV1-3 RFESD KYNU RBX1 TERF2IP CDV3 RP11-149I9.2 RP11-673E1.1 TMEM159 MUC6 SNAP29 CHCHD3 INADL NDUFA5 
SH3BP4,33,SV2B PDGFD RASD2 RPL39L RP11-752G15.9 KIAA1191 CTD-2550O8.7 SLC25A17 MCTS1 TRIM13 RP11-504P24.8 ZNF613 TRNT1 ATP5H RN7SL208P RIBC1 DRC7 RPRD2 RP11-174G6.1 RP1-34L19.1 MATN3 SLC18A1 BIRC6 EEF1A1P17 STMND1 RP5-1142A6.2 SMIM24 CTD-2006C1.12 LINC00910 RP11-981G7.6 RP11-283G6.4 C1orf101 NRDE2 
ISOC2,33,EPM2A TMEM229A KIAA0368 RP11-884K10.6 UBE2J2 RP11-153F5.7 LINC00702 SEPT7P2 DBF4P1 KPNB1 NEFM IL1RAP SERTAD4-AS1 EHMT1 FAM69A CITF22-49E9.3 EYA3 HOXC13-AS ANGPTL6 NAT8L IGHGP LRRC3 ZNF200 TMED7 HOMER2 LINC00235 IGLCOR22-1 BCL2L10 RP11-365D23.4 TOM1L1 TCTE1 RP11-521B24.3 DDX42 
SPRED1,33,SMIM10 CRTAP RRAS ACY1 RP11-398K22.12 RP4-610C12.3 TRIM31 APOC1 ZNF208 FGD6 GLYCTK-AS1 LINC01058 UPK2 RNF220 RP4-633O19__A.1 CTB-1144G6.6 EFHC1 RP11-123K3.4 PTCD2 OGG1 SNHG11 CTD-2619J13.5 AL022476.2 SEMA4D ITK CD3E JMJD1C BUD31 HIST1H2AC S100A10 ROM1 NEK1 NDUFAF1 
TAF8,33,C2orf88 ZNF204P SAMD12 DNAJC27 CRIP3 VPS37A FOLR1 RPP40 BBX ITGA1 APOE CX3CL1 PAFAH1B3 RP11-845C23.2 TH PDXDC1 RP11-574K11.24 RAB3A AC062017.1 SWAP70 ZNF629 RN7SKP16 NECAP2 GRHL1 RP11-458J1.1 PIN1 CYP4F32P MEF2BNB-MEF2B HOXB-AS3 PSORS1C1 COX6A1P2 SELT RAC1 
AC087491.2,33,SAMD10 BCAR3 ANKRD66 FCGR3B SLC25A4 CREB3L1 SLC9B2 RP11-863K10.4 MRPL12 AP5Z1 VIPR2 ZNF292 DOC2GP FAM87A RP11-658F2.8 RP11-250B2.3 TUBB4B NBEAP1 DUX4L9 SPATA33 AC009237.8 SAMSN1 RP11-302B13.5 CDON RP11-809N8.5 VNN1 AC007750.5 MED9 ZNF23 CST1 TRIM33 CTDNEP1 PRDX6 
SS18L1,33,PIPOX RP11-64B16.2 ANP32E ME1 MROH8 STK32C LINS RCAN1 C6orf62 C15orf57 PEX13 FOXRED1 RP11-58E21.4 RP11-889L3.4 ARL1 BCL2L1 GPT CLDN4 DDX50P1 RP11-744D14.1 IGHG4 LST1 FOXP1 CH17-472G23.2 CTD-3193O13.8 SLC22A1 CFLAR FMNL2 COL22A1 NUCB1 PPP4R2 ANKRD22 MGP 
CTB-89H12.4,33,HCN4 P4HB LRRC49 GSTM1 FLJ44511 CAPN10 SYMPK XPO5 RP11-514O12.4 STX16 CTD-2639E6.9 C1orf116 KDELR1 KPNA6 RP11-111M22.3 ADPRH GALNT4 TASP1 RP11-12J10.4 HCN3 OXCT2 AC068282.3 RP11-506M13.3 TP53TG1 LINC00571 RP11-321A17.6 GMPR2 RP11-350D17.3 CTB-12A17.2 PBDC1 FAM173B RP11-332H18.5 RP11-33B1.2 
RP11-543P15.1,33,F7 SCRN1 ITPKA ELL3 NOP58 ADRB1 RIPPLY2 LINC00939 RP11-344N10.5 CDK15 MS4A18 ZNHIT3 SH2B1 CTAGE3P FBXO8 LINC00551 CGGBP1 CXADRP2 AHCY FAM124B LRRC16B RP11-191L17.1 AC004775.5 RPSAP53 SMC5-AS1 OR2A20P AC012358.8 CTD-3065J16.6 RHOQP1 RP1-8B1.4 NUDCD1 SUSD6 PHF20L1 
CTD-2373J6.1,33,CTC-296K1.3 CTF1 TSPAN18 CCDC89 CTD-2001J20.1 RGS10 KLHL35 KDM4B GS1-124K5.12 RP11-420L9.5 MMP10 SLC9A5 SMAP2 AXIN2 DUSP1 AP001469.7 SLC2A4RG KIF23 SLC25A3 TIGD2 AP000255.6 IRF5 RP11-139H14.5 RP11-347P5.1 FIS1 TTC39A MIR210HG RP11-348N5.7 SLTM RP11-459F6.3 UBXN8 IGSF5 AZGP1P1 
PROCA1,33,LINC00968 INPP5B SERPINB1 MROH8 CTD-2008L17.1 STK32C B4GALT5 MED20 CTD-3065J16.9 PCDHGA9 POLE PDIA3P1 FBXO7 NUDCD3 LDB1 NRIP2 NUMBL ZNF266 MTPAP ABCC5 ADAM11 GOLGA2P10 MIR3682 ZNF614 RORB GATA1 RP1-197B17.7 KALRN GPR4 RP11-832N8.1 COX10-AS1 FAM83F BCAP29 
CTD-3157E16.1,33,RP11-867G23.10 SHF TUBG2 GCK CTC-523E23.5 HOOK2 RP11-3D4.4 ETV3 MZF1-AS1 ACAD9 KIAA1467 MAPK10 FOLH1B RP11-230C9.4 TBRG1 ZNF66 CEP135 AC005518.2 MAP3K4 HNRNPA1L2 CTC-398G3.2 RP11-3M1.1 TRBV10-3 EIF4A3 HMGN2P4 CD163 RP11-500C11.3 RP11-226M10.3 SLC25A21-AS1 SKP2 SETD4 PLVAP SLC25A28 
LYZ,33,COPZ2 RP11-783K16.5 GJB3 VSTM2L PRR19 FAM102B NRG4 RP11-455F5.6 FASTKD3 RP11-712B9.5 RP11-445N18.5 RP11-381K20.2 SNORA5C HDAC3 CTD-2529O21.2 TRAPPC2B HAP1 RP11-350J20.9 BCORL1 SEPT9 THA1P RPS19P1 CTD-2012J19.2 KIAA0753 IFT74 RP13-254B10.1 RPL5P22 SLC35F2 KLKB1 AC005884.1 HUWE1 ZNF33B TMEM119 
MPP6,33,CACNA2D3 ZNF814 IQCJ-SCHIP1 RP11-727F15.9 EZH1 UBXN2A TSNARE1 RP1-278C19.8 RP11-69E11.8 ZNF85 SRD5A1 ABHD2 TSR3 AC091801.1 AC016831.7 MINK1 CD8B RDH14 RP11-574F21.3 SYNJ2BP CETN4P RP11-173P15.10 TSHR DRG2 RP11-286E11.1 IL13 RP13-314C10.5 VPS52 RP11-188P17.2 LRG1 RP5-1061H20.4 SYF2 FAR1 
