Gene,Number of connections,Connected genes
PRKG2,27,GJA1 GUCY1A2 GTF2I SPR PTS KCNQ5 KCNQ3 ATP2B2 ATP1B4 CDK4 TRPC6 BAD GTF2IRD1 TNNI1 ATF2 SLC8A1 ATP2B1 PLN BST1 CD38 PLCB4 ATP1B2 PRKAR1B RGS2 KCNMB3 VASP TRPV4 
FGF1,27,REST PDGFRB NTRK3 FGFR4 TRAF6 ERBB4 PLCG1 FGF2 FGFBP1 0 7 KLB FGFR2 KRAS WWTR1 PDGFRA UBC PIK3CB IRAK4 MAPK1 8 MST1R IL1RAP GAB1 SSH1 IL1RL1 FGFR1 
TCTN2,27,HAUS4 DYNC1H1 IQCB1 CEP89 NEK2 DCTN2 MAPRE1 CEP164 CLASP1 PLK4 CEP41 RAB3IP PRKAR2B HAUS1 PPP2R1A YWHAE CNTRL ALMS1 RAB11A YWHAG CEP192 KIF24 AHI1 HAUS8 TMEM216 B9D2 CENPJ 
CSNK1D,27,WNT6 WWTR1 GOSR2 PPP2R5B FZD5 FZD2 FZD10 CSNK2A1 RAB1A CEP70 FZD9 APC2 FOXO1 TUBB CRY2 CTNNB1 SEC24C SSNA1 YAP1 ARR3 MARK4 ARNTL CSNK2B ARRB2 RAB11A RPS21 FZD7 
IGHV4-59,27,FCGR2A CD247 IGHV7-81 FGR ELMO1 FCGR2B IGKV5-2 LAT2 C4A C1QA C4B ELMO2 IGHV4-39 RAC1 IGLV2-8 IGLC6 IGKV1-17 IGHV2-70 C1S IGKV4-1 IGKV1-39 PLCG1 ARPC1A PLCG2 FYN NCK1 IGHV3-30 
CDK2,27,MLH1 GAR1 MSH5 SPDYE6 SPDYE5 SPDYE3 SPDYE1 SPDYA ANAPC5 ANAPC7 CABLES1 E2F5 PSMB1 UBC RPA3 PSMB7 SMAD4 PSMC5 ORC6 PSMB4 TINF2 PSMB5 MCM3 WEE1 RBL1 DBF4 ANAPC4 
CD14,27,RIPK3 LY96 LBP IRF3 IRAK2 EHHADH SP3 VCAN TIRAP TBK1 CD36 HSPD1 IKBKE ITGAM UBE2D3 TLR1 TRAF6 TICAM1 TANK FADD PLCG2 TOLLIP UBE2D1 ITGB1 ITGA4 UBC SP2 
MRPS6,27,MRPS23 MRPL20 CREB3 MRPL55 MRPL53 MRPL41 MRPS14 MRPL50 MRPL40 MRPS18C PTCD3 MRPL19 MRPL14 MRPL37 MRPL46 MRPL13 TUFM DAP3 MRPS25 MRPL15 MRPL54 MRPL21 MRPS12 MRPL17 MRPL52 MRPS24 GADD45GIP1 
SERPINH1,27,COL12A1 COL10A1 COL23A1 COL1A1 COL3A1 COL28A1 COL24A1 COL25A1 COL15A1 COL13A1 COL19A1 COL16A1 COL17A1 COL6A2 COL5A1 COL7A1 COL9A1 COL4A3 COL6A3 COL4A1 COL26A1 COL18A1 COL8A2 COL9A3 COL21A1 COL11A1 COL14A1 
PCDHB11,27,CDH13 PCDHA1 PCDHGA3 PCDH12 CDH23 PCDHB16 PCDHB2 CELSR3 JUN CTNNB1 PCDHA6 CDH5 PCDH18 PCDHA5 PCDHA12 FAT2 CDH15 PCDH10 PCDHB13 PCDHB18P CDH1 CDH3 PCDHGB3 PCDHB7 PCDH7 PCDHB14 PCDHGA8 
MRPL48,27,MRPS18C MRPS23 PTCD3 AURKAIP1 DAP3 MRPL53 MRPL20 MRPS16 MRPS7 MRPS14 MRPL55 MRPS34 MRPL41 MRPL19 MRPS25 MRPS10 MRPS24 MRPL50 MRPS35 TUFM MRPL36 MRPS26 MRPL46 MRPS18B MRPL37 MRPL54 MRPS28 
RPL21,27,RPL27A SRP54 EIF1AX RPS5 SPCS1 RPL22 RPL23A SECISBP2 RNPS1 RPLP2 RPS3 RPS21 RPL13 UPF3B ETF1 RPS8 RPS15 RPS4Y1 RPL39 MYC PPP2CA EIF4G1 RPS23 RPL30 RPL13A RPL7 RPS9 
INTS3,27,TAF8 POLR2A POLR2D INTS8 TAF11 INTS1 RPAP2 CDK9 POU2F2 SP1 GTF2B POLR2J TAF6 RPRD1A GTF2A2 NABP2 PCF11 ELL2 ZHX1 INTS5 SUPT4H1 GTF2E2 GTF2E1 INTS12 POLR2B TAF5 POLR2E 
TEAD1,27,GLI2 TFAP2A NKD1 EGR2 PAK1 NME2 VPS13D SORBS2 NRP2 CAPN2 NDUFA4 HDAC9 PRICKLE2 ITGA1 CLIP4 ARID3A CLIC5 NAIP TBX21 TACC1 PTPN14 AXIN1 YAP1 MSLN CTGF TEAD2 LEF1 
CDC5L,27,NRF1 JUND SF3A2 DDX23 SNRPF ETS1 SNRNP200 HNRNPD SRSF4 DDX42 POLR2I SRSF5 POLR2J PRPF19 SNRPD2 SNRNP40 TXNL4A BUD31 FIP1L1 HNRNPA0 SNRPE CPSF1 SNRPA1 LSM5 LSM7 PCBP2 DHX16 
AGRN,27,HS6ST2 HS6ST1 HS3ST6 HS3ST5 HS3ST3B1 HS3ST3A1 HS3ST2 HS3ST1 HS2ST1 HPSE GLCE EXT1 B4GALT7 PTPRS NDST2 NDST1 NCAM1 LRP4 XYLT2 B3GAT2 B3GAT1 ARHGEF7 B3GALT6 LAMA5 HPSE2 XYLT1 APOB 
PLCD4,26,INPP1 INPP5E ITPKB DGKA DGKI DGKH DGKQ ITPKA DGKD DGKZ DGKE RGS17 ITGAV IPMK INPP5F ITPR3 PTEN PIK3C2G DGKB DGKK PIP5K1A DGKG PIK3R3 PI4KB PIK3C2B INPP5B 
WNT3A,26,GNG12 GPC3 FZD2 RNF43 WNT9A FZD6 FRZB APC GSK3B DKK1 DKK4 GNA15 GNG5 LRP6 AXIN1 GNA11 GNB3 UBC GNG7 CTNNB1 FZD10 GLI3 FZD4 SAG CSNK1G3 GNG2 
RHEB,26,ATP6V1G3 PRKAG1 SEH1L NPRL2 YWHAB LAMTOR2 RPTOR ZNF639 TSC1 BNIP3 ZNF207 KPTN ATP6V0B AKT1S1 ATP6V1G1 PRKAA1 ATP6V0E2 SLC38A9 PRKAG2 TSC2 ATG13 LAMTOR1 RRAGC ATP6V1C1 SESN1 PRKAB1 
MRPS25,26,MRPL55 MRPL45 MRPS16 TUFM MRPL13 MRPS12 MRPL3 MRPL50 MRPL53 MRPS28 MRPL54 MRPL48 MRPL30 MRPL37 MRPS24 MRPS23 MRPL15 MRPS18C MRPS6 ERAL1 MRPL46 MRPL41 MRPL17 MTRF1L GADD45GIP1 MRPL44 
PEX13,26,DHRS4 DDO PIPOX MPV17 HACL1 SRF LONP2 ACAA1 ACOX1 PEX5 IDH1 SLC27A2 GSTK1 ACOT2 PEX10 CAT AGPS AMACR DECR2 UBC CROT GNPAT PEX14 PEX3 MLYCD NOS2 
TYK2,26,UBE2D3 MAPK14 SOCS6 STAM2 HLX HMGN3 EPOR CD247 IL18 IL12RB1 PDGFRB IRF9 STAT3 NFKB2 IL10RB HCK IL6R HLA-DRB1 CUL5 IL7R IFNLR1 RELB PTPN2 IL17D SOCS3 MPL 
MAFK,26,GRHL3 HOXD1 GZF1 IRF2BPL ZNF805 ZNF587 ZNF3 TRIB3 TIAL1 SQSTM1 NEDD8 MAFG CIITA HIRA EDN1 FBXL17 ZNF595 FOXN2 SIRT7 PCNA SP5 NFE2L2 HOXB9 RREB1 ZNF175 AJUBA 
SEC31A,26,HLA-G SEC24C STX5 FOLR1 HLA-DRB5 GLYR1 SEC24A TRAPPC10 SAR1A SEC23B RAB1A CNIH1 GABPA GTF2B TMED10 HLA-DQA1 MCFD2 F8 SEC23A TRAPPC2L F5 SAR1B HLA-C SEC16A SERPINA1 SEC23IP 
PPARGC1A,26,MEF2C CREB3L1 CAMK4 GABPA TGIF2 TFAM DHRS2 SLC2A4 CEBPA PPARA CREB3 PCK2 HDAC3 RBM39 FAM120B PPARG TGFB1 HSP90AA1 PRKAA2 MED16 NRF1 MED25 MAPK12 FABP4 CARM1 MED9 
CDH13,26,PCDHB2 TP53 CELSR3 CDH23 PCDHB16 PCDHB11 PCDH12 PCDHA1 PCDHGC5 HIF1A PCDHB18P PCDHA4 PCDHGB3 ETS1 CDH17 PCDH18 PCDH7 PCDHB13 PCDHA8 PCDHB1 PCDHA5 CDH15 CDH3 CDH1 PCDHGA8 PCDH11Y 
PRKAA2,26,SESN2 GCG AKT1S1 ATG13 CDH5 ACACB CRY1 PLIN3 PFKFB2 CRY2 FOXO6 CD36 SPHK2 CALM3 PPARGC1A CAB39 BMP8B ULK1 AKT3 GNB1 ADIPOR2 LAMTOR5 ATG14 PLIN1 FOXO3 BECN1 
GTF2A2,26,RPAP2 INTS8 PRMT1 SUPT4H1 KAT2B MNAT1 TAF10 TAF4 POLR2D GTF2B ELL2 SNAPC5 POLR2A INTS3 POLR2J GTF2H3 TAF3 NCOA3 TAF8 INTS1 GTF2H1 POU2F2 CDK9 GTF2E2 TAF11 PCF11 
RASGRP2,26,RAP1B RAP1A RRAS2 PLA2G4C PLA2G4F PLA2G4B MRAS CACNA1A CACNG1 CACNA1I CACNA1F CACNA1H CACNA1G CACNA2D3 CACNA1S DNAJC27 HRAS CACNB4 PLA2G4D CACNA1B PLA2G4A CACNA2D2 RRAS PLA2G4E CACNA2D4 CACNA2D1 
MRPS35,26,PTCD3 MRPL20 MRPS7 MRPL16 MRPL1 MRPL55 MRPS34 MRPS28 MRPL41 MRPS24 MRPL50 MRPL37 TUFM MRPL19 OXA1L MRPL48 MRPS23 MRPL46 MRPS26 MRPS18C MRPL54 MRRF MRPL36 MRPL10 MTIF3 MRPS10 
FZD6,26,PLCB3 ROR1 GNAQ CSNK1E FRZB GPC4 WNT3A GNA15 WNT9B DKK2 ROR2 GNB4 GNG12 WNT11 DKK4 GNG7 GNB3 GNG5 WNT2B WNT5B GNA11 RYK WNT10B PLCB1 GNAO1 SFRP4 
GTF2H3,26,EAF1 COPS7B NELFB NELFE GTF2A2 XRCC1 NELFCD TAF4 GPS1 LIG1 CBX3 RFC3 PAF1 PRPF19 MLLT3 RAD23B HMGN1 SUMO2 RBX1 PCNA POLR2I ERCC6 GTF2B POLD4 GTF2H5 TAF3 
PPP1CB,26,GYS1 PLIN1 MYH14 RASSF5 PPP1R12A PPP1R1A TAF1 ROCK1 CALML5 CACNA1F CRY1 CSNK1E CREB1 RHOB PHKG2 RAC1 PPP1R14A YWHAB RAF1 CPSF2 TRPM8 ATF6B CACNG8 RBL2 SSU72 MYLPF 
CEP192,26,MZT1 DYNC1H1 DCTN2 CLASP1 IQCB1 KIF24 CEP41 HAUS6 NEK2 CEP152 CEP89 CEP72 TCTN2 CEP164 TUBA1A HAUS1 YWHAE TUBB TUBGCP4 RAB3IP CEP83 RAB11A CEP97 MAPRE1 HAUS4 AHI1 
SUMO1,26,PRAM1 CBX5 SUMO2 SUMO3 RXRA RWDD3 SMC6 SEC13 CDCA8 XRCC4 XRCC6 UBE2E2 RNF8 ING2 RNF2 RNF4 RNF168 AAAS RAE1 NSMCE2 UBE2L3 PHC3 NR3C1 TP53BP1 NFKB2 ZNF131 
ACTR2,26,CLTB BTC CBL MMP28 MMP21 PBX3 IGHG1 IGKV1-17 RHOJ AP2M1 RHOQ WASF3 IGHG4 IGLV1-40 REPS2 WIPF2 CLTA TRIP10 EGF IGHG3 AGFG1 GAPVD1 MMP7 IGHV3-53 CTNNB1 GRB2 
PIK3C2A,26,AGFG1 ITGB3 CLTA TRIP10 REPS2 SNX33 SNX18 INPP4A AREG CYTH4 CYTH1 TFRC MTMR2 CYTH3 MTMR1 PLCD3 HGS INPPL1 PLCB2 PI4KA EGF M6PR PLCE1 GRB2 PTK2 ITSN1 
PRCC,26,DHX38 ZNF197 TGIF2 DDX23 SRSF2 NCBP1 POLR2C ISY1 PTBP1 EFTUD2 EIF4A3 PPIH LSM3 SNRPN DDX5 GCFC2 SF3B1 HNRNPUL1 SRRM1 RBM5 SRSF7 DDX46 U2AF1L4 CPSF7 HNRNPH1 GPKOW 
NDC1,26,SRSF1 SRSF4 GEMIN6 POLDIP3 DYNC1LI1 RAN AAAS KPNB1 THOC2 CASC3 CPSF2 RAE1 DYNC1H1 SNUPN AHCTF1 CDC40 GCKR HNRNPC UBE2I SEH1L MAGOHB SNRPF DDX20 SRSF5 SMN1 THOC6 
APH1B,26,NOTCH4 DLL4 TRAF6 LRP1B ZNF274 SDC3 NGFR LRP5 LRP4 LRP2 LRP1 CDH1 NCSTN NGF APBB2 EPHB2 DTX1 ITGB3BP APP FBXW11 LRP6 ERBB4 PSEN2 EPHB4 CD44 YBX1 
C4B,26,IGHV7-81 C3 IGLV2-8 C1QA IGHV2-70 C1S IGKV4-1 CFI CD55 IGHG3 IGKV2-29 IGLV3-25 IGHG4 IGLV1-44 IGHV4-59 IGHV3-30 IGKV1-39 IGLC6 IGKV1-17 IGKV5-2 IGHV2-5 IGHV4-39 IGHV1-69 COLEC10 COLEC11 IGLV3-27 
ITGAE,26,ITGB7 ITGB1 COL8A1 COL6A3 COL12A1 COL4A4 COL4A2 ACTN4 CRKL ACTN2 MBD1 ZBTB33 FN1 CDH1 CRK COL5A1 FYN COL3A1 COL6A2 COL5A2 ACTB COL13A1 COL5A3 ACTN1 ITGB8 BCAR1 
C4A,26,C3 FAM20A IGKV4-1 IGKV5-2 USF1 C1QA IGHV3-30 IGKV1-17 IGHV7-81 FAM20C NFIC FCN2 CFI COLEC10 IGKV1-39 IGLV3-25 C1S IGLC6 IGHV4-59 IGKC IGLV2-8 IGHV2-70 IGKV2-29 IGLV3-27 IGHV4-39 C1R 
IRF3,26,G3BP1 ZNFX1 ZNF77 TRIM5 TOP2A SARNP SAMHD1 CBX5 BST2 CD14 AKAP8L ANP32E APOBEC3F APOBEC3C APOBEC3B APOBEC3A CXCL9 DDX58 NCOA3 APOBEC3H ELK4 ARID4A NLRC3 DTX4 IRF7 XRCC6 
FOXA2,26,MYB GTF2H2 UTP14C TRIM44 TP53INP2 HMGN4 FAM50B EYA2 CIAO1 FST MORN2 FOXF1 SARM1 CEBPA MAFA VAMP5 BRCA1 DEAF1 SUDS3 UNC13A BCL6 CITED2 FOXA1 TGIF1 CCNT2 F2 
CHML,26,CCZ1B ALS2CL ALS2 RIN1 RAB5A RABGGTB RAB3IL1 DENND2A DENND3 RAB21 RAB31 RAB35 RAB38 RAB39A RAB3A RAB14 RAB12 HPS4 MADD MON1A YWHAE RABGGTA RAB11B RAB3GAP1 RAB6A TRAPPC2B 
AKT2,26,PYCARD RALGAPA2 PPP2R5E FAF1 MYO5A MTCP1 GSK3A GRB2 SOS2 HTT YWHAB FGFR4 GRAP ARID2 ADCY4 PPP2R1B MAPK14 PPP2R2B PDE3B YWHAE MLST8 NFKBIE PPP2R5D PPP2R2C CDC37 ADCY7 
PDGFB,26,SLC9A3R2 MAPK3 IL10RB PRLR TRAF6 PTEN EIF2AK2 COL4A4 RAC1 NTRK3 PLCG1 FGR COL6A2 FURIN ERBB4 THBS4 CRK THBS3 COL6A3 GNAI2 PIK3R2 ELK1 IL13RA2 COL4A2 IFNLR1 HCK 
FBXW4,26,FBXO21 COPS2 HECTD2 FBXO44 COMMD1 ZNRF1 UNKL RLIM FBXW2 HERC5 DCUN1D1 COPS3 RNF217 COPS7B FBXO7 UBE2A FBXL20 COPS5 FBXO17 UBC FBXW5 DTX3L FBXL14 FBXW7 FBXL19 TRIM21 
ERAL1,26,MRPS18C MRPL41 PTCD3 MRPL20 MRPL46 MRPL54 MRPS7 MRPS34 MRPS16 MRPS14 MRPL15 MRPL19 MRPL30 TUFM MRPS28 MRPL53 MRPL49 MRPS31 MRPL13 MRPS23 MRPL4 MRPL55 MRPL37 MRPL50 MRPS25 MRPL43 
CCNK,26,NELFA PHAX SMAD4 GTF2H4 CDK13 USF1 BATF RPAP2 POLR2D BCL11A INTS1 NELFB CDK9 MNAT1 CDK7 EAF1 INTS7 POLR2A SMAD3 GTF2H2 INTS8 INTS6 INTS9 SNAPC1 ICE1 AFF4 
PRKAR2B,26,CDK1 RAB11A AHI1 TCTN2 MAPRE1 EDN1 MLC1 CCL4 CEP164 CEP97 NPY4R DCTN2 SCLT1 CEP89 CDK4 HAUS4 ADRB2 CLASP1 TUBB MLXIPL ITGB1 TUBGCP4 PRKAG1 CD247 NEK2 IQCB1 
RPL11,26,ACTL6A MAX RPS7 DDOST RPL22 RPS29 SRP72 RPLP2 EIF4G1 SEC11A RPL14 UPF3B RPL6 RPS4Y1 PNRC2 RPS5 SPCS3 SSR2 SRP14 RPL23A RPL39 SRP54 SMG1 SSR3 SMG7 RPL41 
SRSF7,26,SF3B4 SMNDC1 SF3A3 POLR2A PRPF8 TRA2B WBP4 RANBP2 SARNP CPSF7 U2SURP DHX38 NUP205 HNRNPH1 HNRNPUL1 DDX46 NUP107 PRCC RBM5 EFTUD2 U2AF1L4 SNRPN PTBP1 LSM2 NUP43 SF3B1 
EPS15,26,FGFR4 AAK1 BIN1 STAM2 ADRB2 FNBP1L ZNF766 AMPH SH3KBP1 PDGFRA AVPR2 WNT5A KIAA0319 LDLRAP1 UBC HIP1R REPS1 DNM1 ARPC1A HSPA8 AP2S1 NECAP1 AP2A2 FGFR2 JAG1 CD3G 
CD44,26,COL4A2 TWIST2 TWIST1 SP1 RELA MMP7 MMP2 MMP15 LAMB3 COL9A1 ROCK2 ERBB2 PSEN2 ZEB1 SRF LAMB4 COL4A4 LAMA4 VAV1 LAMB2 SLC9A1 ARHGEF1 COL6A3 ANK1 APH1B COL6A2 
STAM2,26,AAK1 HSPA8 FNBP1L HIP1R NECAP1 EPS15 USP8 VPS37A TYK2 EPGN VPS37C MVB12B SH3KBP1 LCK UBC DNM2 FNBP1 BIN1 ARPC1A VPS37D REPS1 AMPH JAK1 CLTC AP2S1 AP2A2 
UTP3,26,IMP4 PWP2 EXOSC9 RCL1 DCAF13 RPS5 NOL12 WDR43 TBL3 EXOSC2 NIP7 DDX52 BRF2 RRP7A WDR75 BOP1 NOP56 UTP15 RPS9 DDX49 RPS7 RPS8 NOL6 FCF1 MPHOSPH10 KRR1 
DDOST,26,RPL41 SSR3 RPL14 SPCS3 RPS7 SRP14 SRP54 RPS29 SRP72 SSR2 CEBPZ MAGT1 TUSC3 SSR4 RPL22 RPL11 SEC11C RPL23A FAU RPLP2 RPS5 RPS9 RPL31 SEC11A RPL6 SSR1 
COL6A2,26,COL6A3 ITGB7 ACTN4 ITGAV ITGAM PPIB P3H1 SERPINH1 TFAP2A LIMS2 ITGB2 ITGB6 FN1 ITGA9 ITGA2B COL6A6 ITGB8 ITGAX CRTAP ITGB1 ACTN2 PDGFB ITGAE ACTB ITGA1 CD44 
MRPL43,25,MRPL13 MRPL53 MRPL4 MRPL52 MRPL41 MRPL54 MRPS28 MRPS7 MRPS14 TUFM MRPL50 MRPS34 MRPS15 MRPL44 MRPL37 MRPS23 MRPL55 MRPS5 MRPL19 MRPS18C MRPS16 ERAL1 MRPL49 MRPS31 MRPL30 
ANAPC4,25,PSMB1 VENTX PSMC5 CDK1 PPP3CB PPP3CA PSME2 PSMD14 EHMT1 UBE2D1 CDC6 CDC26 ANAPC2 BUB3 PSMD10 PPP3CC ANAPC16 CDC23 CCNE2 UBC PSMB5 PSMB7 PSMB4 PSMC1 CDK2 
LRP6,25,GNG5 DKK2 APC AXIN1 GNG12 SERPINF1 ARR3 CSNK1G1 USP8 UBC PSEN2 GNG7 GNB3 WNT3A WNT9B APH1B GNA11 GNG2 WNT5B FZD10 GNA15 IGFBP4 DVL3 WNT2B DKK4 
VEGFA,25,NRP2 VAV2 CREB3 CD2AP ITGA1 NTRK3 GNAI2 ITGA9 TP53 ATF6B ITGB1 PTPRJ PLCG1 PDGFRB SMAD3 STAT3 MAPK14 ELMO1 RAC1 MYC FYN S1PR3 MAPK1 SH2D2A TFAP2A 
GNG4,25,CACNA1C CYSLTR2 OPRD1 ADCYAP1R1 WNT8B PRKCE PLCG1 PIK3R2 RASD1 FZD10 GPSM1 PLCB4 MAPK8 WNT3 GNGT2 HTR2A ADCY6 FZD4 KCNJ3 HTR2C GPR45 MTNR1A PTGER3 WNT16 DRD4 
ACTL6A,25,COPS2 ARID2 MAX COPS7B XPC VPS72 GLYR1 KDM3B ARID1A MORF4L1 SMARCB1 RPL11 MYC MCRS1 MED1 DMAP1 SMARCC1 MORF4L2 ACTB INO80E SMARCC2 PBRM1 GPS1 COPS7A COPS5 
EPGN,25,TRAF6 MEF2A UBC FNBP1L PLCG1 STAM2 PTPN3 AMPH AP2A2 GAPVD1 HSPA8 NECAP1 ARPC1A IRAK4 HIP1R REPS1 AP2M1 IL1RAP DNM2 HRAS PTPRK BIN1 AAK1 SH3KBP1 AP2B1 
FAU,25,RPS29 NCBP2 RPS7 DDOST SRP72 SMG1 RPL14 RPP40 SRP14 SSR3 EEF1A1 RPS5 EIF4G1 EIF1AX RPL39 RPS9 RPL41 DNAJC3 RIOK3 SSR2 SPCS3 PNRC2 SRP54 RPL18 RPLP2 
SMC3,25,NSMCE4A XPO1 TAOK1 TERF1 SDE2 PLK2 SUN1 KNTC1 CCDC124 AHCTF1 TP53BP1 UBE2I ATM ERCC6L PHF19 PDS5A NDEL1 SMC1B SYCP3 KIF2C CLASP1 NSMCE2 KIF18A NIPBL MAPRE1 
IQCB1,25,TCTN2 CEP97 MAPRE1 CEP164 DCTN2 CEP89 NEK2 CLASP1 PLK4 CEP41 YWHAG CEP192 TUBB CNTRL CENPJ RAB11A YWHAE KIF24 DYNC1H1 PPP2R1A HAUS4 ALMS1 AKAP9 AHI1 PRKAR2B 
WNT5B,25,DKK2 NOTUM TMED5 EBF1 WLS ARRB2 CTNNB1 FZD2 GNA15 GNG7 GPC3 GNB3 FRZB GNB4 SFRP4 GNA11 GLI2 DKK4 PORCN LRP6 GNG12 GNG5 RYK FZD6 FZD10 
GLI1,25,KIF3A USF1 GNAI1 EVC2 EVC BMP4 BCL2 IFT122 MTSS1 WNT6 XPO1 BNC1 BMP2 WNT16 RBBP4 INTU GNAO1 TFAP2A SAP18 WNT7B TTC21B RPS27A PSMB7 RPGRIP1L RBBP7 
SSR2,25,SSR3 RPL23A RPLP2 SPCS3 RPL41 RPS5 SRP72 SRP54 SRP14 RPS29 RPS7 DDOST RPL14 RPL27A RPS4Y1 RPL39 RPL22 RPS9 RPL11 RPL6 RPL31 RPS6 SEC11A FAU SSR1 
MRPS24,25,MRPL50 MRPL55 MRPL19 CHCHD1 MRPL17 MRPL41 MRPL38 MRPS35 MRPL48 MRPS25 MRPL36 MRPL54 TUFM MRPL37 MRPS18C MRPL40 PTCD3 MRPL46 MRPL21 MRPS33 MRPL15 MRPS23 MRPL20 MRPS6 GADD45GIP1 
RNF217,25,UBC FBXO21 FBXW7 RLIM HERC5 ZNRF1 HECTD2 FBXO17 KLF3 SATB1 UBR2 SETDB1 FBXO7 FBXO9 FBXO15 SMURF2 FBXL5 FBXW4 LHX2 FBXL19 FBXW10 FBXO44 FBXL14 UNKL FBXL20 
TRIP10,25,AGFG1 GRB2 PIK3C2A CLTA REPS2 SIX5 ACTR3 AP2M1 OCRL APOB ARRB1 ITSN1 GAPVD1 FZD4 DNAJC6 GAK ARPC4 EPN2 EGF ACTR2 EXOC4 HGS M6PR RHOQ CD4 
SDC3,25,GLCE HS2ST1 HS3ST6 HS3ST5 HS6ST1 HS3ST3B1 HS3ST3A1 HS3ST2 HS3ST1 HS6ST2 HPSE2 HPSE EXT1 NCAN NDST2 NDST1 POMC CASK ZNF263 APH1A APH1B APOE CXCL8 EGFR XYLT1 
PRKCB,25,EMD EGLN2 PAX8 NOX1 PPP1R14A STXBP3 KCNN4 KCNN2 KCNN1 LCK CARD10 CD38 CREB1 CHRM2 ATF4 EGLN1 CABIN1 RFX5 KRAS GNAO1 MARCKS CARD14 ZBTB33 SOS1 SLC6A3 
SUPT4H1,25,NELFB POLR2D INTS1 CDK7 RPRD1B GTF2A2 GTF2H4 E2F1 CDC73 ELL2 TAF11 TAF8 RPAP2 SNAPC5 NELFCD CDK9 SUPT6H POLR2A INTS3 POU2F2 NELFE EAF1 INTS5 INTS8 NABP2 
TLR4,25,APOB MAPK1 SNAP23 HSPA9 HMGB1 TLR2 SFTPA1 TRAF6 FADD IKBKG IRAK4 RAC1 PIK3CB LY86 NOS2 UBC GNAI2 PDCD4 UBE2D3 PLCG2 TANK IRAK3 S100A8 PIK3R2 CASP8 
PPP2R1B,25,MAPK14 CACNG8 MAP2K1 PPP2R5D PRKCI FBXO43 PPP1R1A REC8 STK3 RYR2 CACNA1F CACNB3 CACNB2 CACNG6 CACNA1S CACNA2D4 TGFBR2 CACNA2D3 MAPK1 MAPK13 MAPK3 AKT2 IRAK4 CACNB4 SMG5 
RRAS2,25,RAPGEF4 RAPGEF2 RAPGEF5 RALBP1 RASGRP4 RASGRP2 RASGRP3 RASA4 RASAL1 RASA2 RASA3 RASAL3 RGL1 RIN1 PRKCE SYNGAP1 RASGRF2 MLLT4 RASA4B PIK3R2 RGL2 ARHGEF12 GNB1 BRAP RASSF1 
DYNLL2,25,WDR35 PIK3R4 IFT27 COPA PARK7 PRKAG2 HSPB11 IFT80 SKA2 PIK3C3 TUBAL3 TUBB2B BMF KLC1 CDCA5 SMC1A CKAP5 DCTN1 CD59 COPG2 CD55 BECN1 IFT122 TUBB1 CENPN 
PCDHB18P,25,CTNNA3 PCDHA6 CELSR1 PCDHB15 CDH13 PCDHA2 PCDH18 CDH1 PCDHGA6 PCDHA1 CDH3 PCDHA9 PCDHB4 PCDH9 PCDHGB7 PCDH11X PCDHGB3 PCDHB11 PCDHB3 PCDHB14 PCDHB13 PCDHA12 CELSR2 PCDHGA8 CTNNB1 
ATR,25,SMC1A RAD52 RAD9A BARD1 RMI2 TOPBP1 TELO2 BRCA1 MCM8 KAT5 HES1 RAD21 GLYR1 SYCP3 HUS1 ORC5 SMARCAL1 RFC3 SYCP2 MCM4 FANCC CDC45 DDB1 TIMELESS RAD50 
ANAPC16,25,PSMB1 CDC6 CDC27 PSMD10 PSMD1 NEK2 VENTX PSMC5 UBE2D1 GMNN UBE2S CDC16 PSMD9 UBC UBE2E1 BUB3 EHMT1 ANAPC15 PSMD8 PSMA3 ANAPC4 ANAPC2 PSMB3 CDC26 CDC23 
MRPS7,25,MRPS36 MRPS14 MRPL13 MRPL43 MRPL48 MRPL30 ERAL1 MRPS35 MRPL20 MRPL54 MRPL46 MRPS23 MRPS16 MRPS34 MRPL50 MRPS28 MRPL53 MRPL41 MRPL55 PTCD3 MRPL37 MRPL19 MRPS15 MRPS18C TUFM 
C3,25,C4A ITGAM CEBPD FAM20A C4B ITGAX IFITM1 GATA2 FAM20C CR2 CR1L CFP CFB C2 MBD1 ZNF274 ATG16L1 TGIF2 PLG ZHX2 CFI GPSM1 CFH GNG2 GNAI2 
EPB41L1,25,TWF2 MAZ MYO3B CACNG8 ZNF92 TCF4 ADNP ZNF263 CIB2 TWF1 DLG1 GRIA3 ZNF750 NGF ZHX1 KDM5B CAMK2D MDM2 CAMK2G GSN AKAP5 TMIE TMC2 FSCN2 CAMK2A 
TBL1X,25,RXRA SIN3A SIAH2 NR1H4 HDAC10 MED30 APC RBBP4 MECP2 THRAP3 PPP2CA NFYC MED15 CALM3 MED27 MYC HDAC7 MED19 SREBF2 PPP2R5D AXIN1 PPP2CB ARNT NR1D1 MED29 
IMP4,25,UTP3 EXOSC2 DDX52 RCL1 RPS7 DCAF13 BMS1 C1D RRP7A EXOSC9 TBL3 NIP7 RPS9 NOL11 NOL12 RPS5 WDR43 PWP2 NOL6 EXOSC3 NOP14 EMG1 NOP56 WDR75 RPS6 
